Issue_id,Priority,Component,Duplicated_issue,Title,Description,Status,Resolution,Version,Created_time,Resolved_time
169826,P5,Tabbed Browser,,Port patch to bug 164006 (wyciwyg: in tab titles),Phoenix is missing the patch for bug 164006.  It touches tabbrowser and friends;; can you check it out and see if its a good patch?  And bring it over if so?,RESOLVED,FIXED,Trunk,2002-09-19 20:05:33 -0700,2007-09-09 21:32:31 -0700
184350,P5,General,,About Popup Blocking dialog has a _working_ resizer in the status bar example,See attachment.  The resizer beside Document: Done works.  I can resize the; window by dragging it.,RESOLVED,FIXED,unspecified,2002-12-08 20:59:38 -0800,2006-03-12 17:06:28 -0800
192641,P5,Bookmarks & History,,[bookmarks] sort with folders first; then bookmarks,User-Agent:       Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.3a) Gecko/20021207 Phoenix/0.5; Build Identifier: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.3a) Gecko/20021207 Phoenix/0.5; ; One little complaint i have about Phoenix.5 is that you cant sort the bookmarks; with folders first - like in an explorer window view. Would be nice if this; feature could be implemented :); ; Reproducible: Always; ; Steps to Reproduce:; 1.sort bookmarks; 2.; 3.; ; Actual Results:  ; folders are sorted alphabetically; mixed in with regular bookmark entries.; ; Expected Results:  ; folders should be sorted first; alphabetically - then display bookmarks sorted; alphabetically.,RESOLVED,WORKSFORME,unspecified,2003-02-10 18:37:21 -0800,2006-08-27 06:24:21 -0700
214754,P5,Bookmarks & History,,remove Use Default (broken anyway) from Bookmarks Manager - Move; dialog has no title; increase the default size of the dialog,willerg tolde me to do a new bug so here it is,RESOLVED,FIXED,Trunk,2003-08-01 07:31:46 -0700,2006-08-27 05:03:13 -0700
225434,P5,Bookmarks & History,,dragging bookmark from personal toolbar and releasing (on same bookmark or elsewhere) or clicking on bookmark menu then cancelling leaves button depressed/sunken when hovered,User-Agent:       Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.6b) Gecko/20031111 Firebird/0.7+; Build Identifier: Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.6b) Gecko/20031111 Firebird/0.7+; ; when a bookmark is dragged from the bookmarks toolbar; and then it is released; over the place it was originally dragged from (so the cursor changes to a; cancel or no entry symbol); when the mouse is hovered over this bookmark; again; rather than being raised; the bookmark is still depressed (the mouse; however has been released).; ; Reproducible: Always; ; Steps to Reproduce:; 1. click and drag a bookmark from the toolbar.; 2. while still dragging; replace the mouse over the place it was dragged from; (the same bookmark on the toolbar) so the cursor changes to no entry symbol.; 3. release the mouse button.; 4. hover the mouse over the button again.; ; Actual Results:  ; the bookmark on the toolbar is depressed when the mouse is hovered over it (but; not clicked); ; Expected Results:  ; the bookmark should appear raised.; ; using the default theme. the bug goes away if one clicks on a new tab. however; when one is viewing the same tab; the bug persists.,RESOLVED,WORKSFORME,Trunk,2003-11-12 02:34:58 -0800,2013-08-11 13:45:45 -0700
234295,P5,Preferences,,Find As You Type pref shouldnt completely disable FAYT,If I uncheck Use Find As You Type in Firebird; it also disables / and .  I; think its common to want / and  to work without wanting any alphanum key to; trigger FAYT; but I dont think anyone needs to disable the feature completely.; ; The UI pref should control accessibility.typeaheadfind.autostart; not; accessibility.typeaheadfind.,RESOLVED,FIXED,unspecified,2004-02-14 03:32:23 -0800,2006-08-27 06:51:38 -0700
236303,P5,Migration,,iCab Profile Migrator,.,RESOLVED,WONTFIX,unspecified,2004-03-03 00:12:03 -0800,2012-04-18 14:33:45 -0700
237846,P5,General,,Firefox fails to set registry key in making itself the default browser,User-Agent:       Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7b) Gecko/20040317 Firefox/0.8.0+; Build Identifier: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7b) Gecko/20040317 Firefox/0.8.0+; ; In the latest Windows nightlies; Firefox creates a new key under; HKEY_CLASSES_ROOT named FirefoxHTML; to identify HTML files to be opened with; Firefox.; ; However; it fails to set the default value in that key-- that is; the friendly; name used for that filetype-- to anything. For some odd reason; this breaks; functionality in Thunderbird; which apparently expects there to be a name in; this key; as a result; Thunderbird display a dialogue box to download an HTML; file upon clicking any link. Im assuming there are probably other programs that; expect the key to have a name specified in its default value as well.; ; Setting the friendly name to HTML Document; as Seamonkey does in the; MozillaHTML key; fixes the conflict with Thunderbird.; ; Reproducible: Always; Steps to Reproduce:; 1. Set one of the latest Firefox nightlies as the default browser.; 2. Navigate to the registry key HKEY_CLASSES_ROOT\FirefoxHTML.; Actual Results:  ; The default value of the key is empty.; ; Expected Results:  ; The default value of the key is set to HTML Document or some similar description.,RESOLVED,WONTFIX,unspecified,2004-03-17 17:55:01 -0800,2004-09-24 13:26:31 -0700
238137,P5,General,,User Agent string in the About Firefox dialog is cut off at the bottom,User-Agent:       Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7b) Gecko/20040319 Firefox/0.8.0+; Build Identifier: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7b) Gecko/20040319 Firefox/0.8.0+; ; The second line of text of the user agent string is cut off by about 1 or 2 px; at the bottom. If you select both lines of text a continue moving the mouse; downward; the text scrolls up slightly and you can see the bottom of the cut-off; parentheses.; ; Just a few builds ago; the user agent was in a scroll box. Now that box is gone; (and it looks better because of it).; ; Reproducible: Always; Steps to Reproduce:,VERIFIED,FIXED,Trunk,2004-03-20 19:29:49 -0800,2013-11-11 23:50:59 -0800
239684,P5,Location Bar,,address bar autocomplete does not fill in protocol to url,User-Agent:       Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.6) Gecko/20040227 Firefox/0.8; Build Identifier: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.6) Gecko/20040227 Firefox/0.8; ; If I start writing url in address bar; it offers possible autocompletes. If I; chose one and I started writing with host address; it doesnt fill in protocol; until I press enter; which is problem; if I want to change some part of this; url. If I start writing with protocol; everything works ok.; Example:; url https://aa.bb.cc/xxx; I start writing aa; whole url appears in list but when I want to change xxx to; xxy; https:// disapears; so I have to fill it in again.; If I start to write https://aa; list is the same and I can edit any part of; url and protocol ramains where it should.; ; Reproducible: Always; Steps to Reproduce:; 1. url https://aa.bb.cc/xxx; 2. start writing aa; 3. choose from list one and try to edit it; ; Actual Results:  ; protocol part of url disapears; ; Expected Results:  ; Either protocol part should remain or protocol should not apear in the list. I; would prefer first possibility.,RESOLVED,FIXED,unspecified,2004-04-05 04:57:40 -0700,2006-12-21 08:05:30 -0800
